@relation NewRelation
@attribute ano numeric
@attribute dia_semana {domingo,quarta-feira,quinta-feira,segunda-feira,sexta-feira,sábado,terça-feira}
@attribute uf {PB,PE,RN}
@attribute br numeric
@attribute municipio {'JOAO PESSOA',NATAL,RECIFE}
@attribute classificacao {'Com Vítimas Fatais','Com Vítimas Feridas','Sem Vítimas'}
@attribute fase_dia {Amanhecer,Anoitecer,'Plena Noite','Pleno dia'}
@attribute tempo {Chuva,'Céu Claro',Garoa/Chuvisco,Nublado,Sol}
@attribute tipo_pista {Dupla,Múltipla,Simples}
@attribute tracado {Curva,'Desvio Temporário','Interseção de vias','Não Informado',Ponte,Reta,Rotatória,Viaduto}
@attribute total_pessoas numeric
@attribute mortos numeric
@attribute feridos numeric
@attribute Risco {Alto,Baixo,Medio,'Muito Alto',Nulo}
@data
2018,quarta-feira,PE,232,RECIFE,'Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,Reta,2,0,1,Medio
2018,sexta-feira,RN,101,NATAL,'Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,Reta,6,0,1,Baixo
2018,sexta-feira,RN,101,NATAL,'Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,'Interseção de vias',3,0,1,Baixo
2018,sexta-feira,RN,101,NATAL,'Com Vítimas Feridas','Plena Noite','Céu Claro',Múltipla,'Interseção de vias',2,0,1,Medio
2018,domingo,RN,101,NATAL,'Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,'Não Informado',4,0,2,Medio
2018,domingo,PB,230,'JOAO PESSOA','Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,Reta,4,0,2,Medio
2018,domingo,PE,101,RECIFE,'Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Reta,1,0,1,Medio
2018,segunda-feira,PE,101,RECIFE,'Com Vítimas Feridas','Pleno dia','Céu Claro',Múltipla,Reta,1,0,1,Medio
2018,terça-feira,PB,101,'JOAO PESSOA','Com Vítimas Feridas','Pleno dia',Nublado,Simples,'Não Informado',2,0,2,Medio
2018,quarta-feira,PE,408,RECIFE,'Com Vítimas Feridas','Pleno dia',Nublado,Dupla,Reta,2,0,2,Medio
2018,quarta-feira,PB,230,'JOAO PESSOA','Com Vítimas Feridas',Amanhecer,'Céu Claro',Dupla,Reta,3,0,3,Medio
2018,quinta-feira,PB,230,'JOAO PESSOA','Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Curva,2,0,1,Medio
2018,sexta-feira,RN,101,NATAL,'Com Vítimas Feridas','Pleno dia','Céu Claro',Simples,'Interseção de vias',3,0,3,Medio
2018,sexta-feira,PB,230,'JOAO PESSOA','Com Vítimas Feridas',Anoitecer,'Céu Claro',Dupla,Curva,5,0,1,Baixo
2018,sexta-feira,RN,101,NATAL,'Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Reta,3,0,1,Baixo
2018,sábado,PB,230,'JOAO PESSOA','Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,'Não Informado',2,0,1,Medio
2018,domingo,PB,230,'JOAO PESSOA','Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Curva,1,0,1,Medio
2018,domingo,RN,101,NATAL,'Com Vítimas Feridas','Plena Noite',Garoa/Chuvisco,Dupla,Reta,1,0,1,Medio
2018,domingo,PB,230,'JOAO PESSOA','Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,'Não Informado',1,0,1,Medio
